timeStamp;elapsed;label;responseCode;responseMessage;threadName;dataType;success;failureMessage;bytes;sentBytes;grpThreads;allThreads;URL;Latency;IdleTime;Connect
1556011353503;1608;Request_Route_14;200;OK;OTP Thread Group 1-11;text;true;;40423;364;15;15;http://localhost:8080/otp/routers/default/plan?fromPlace=52.60805152239317%2C13.9361572265625&toPlace=52.54838346285351%2C13.340835571289062&time=10%3A18am&date=04-10-2019&mode=CAR_PARK%2CWALK%2CTRANSIT&maxWalkDistance=804.672&arriveBy=false&wheelchair=false&locale=en;1605;0;4
1556011353443;1676;Request_Route_18;200;OK;OTP Thread Group 1-3;text;true;;52973;366;15;15;http://localhost:8080/otp/routers/default/plan?fromPlace=52.92711883428343%2C12.812805175781248&toPlace=52.50368360390624%2C13.554382324218748&time=10%3A54am&date=04-10-2019&mode=CAR_PARK%2CWALK%2CTRANSIT&maxWalkDistance=804.672&arriveBy=false&wheelchair=false&locale=en;1673;0;0
1556011353816;1436;Request_Route_17;200;OK;OTP Thread Group 1-14;text;true;;36923;365;15;15;http://localhost:8080/otp/routers/default/plan?fromPlace=52.84840052378115%2C13.79058837890625&toPlace=52.50368360390624%2C13.554382324218748&time=10%3A54am&date=04-10-2019&mode=CAR_PARK%2CWALK%2CTRANSIT&maxWalkDistance=804.672&arriveBy=false&wheelchair=false&locale=en;1429;0;4
1556011353142;2122;Request_Route_15;200;OK;OTP Thread Group 1-8;text;true;;34560;367;15;15;http://localhost:8080/otp/routers/default/plan?fromPlace=52.67721472156448%2C13.596954345703125&toPlace=52.515803012883595%2C13.401260375976562&time=10%3A18am&date=04-10-2019&mode=CAR_PARK%2CWALK%2CTRANSIT&maxWalkDistance=804.672&arriveBy=false&wheelchair=false&locale=en;2121;0;0
1556011354021;1884;Request_Route_18;200;OK;OTP Thread Group 1-7;text;true;;52973;366;15;15;http://localhost:8080/otp/routers/default/plan?fromPlace=52.92711883428343%2C12.812805175781248&toPlace=52.50368360390624%2C13.554382324218748&time=10%3A54am&date=04-10-2019&mode=CAR_PARK%2CWALK%2CTRANSIT&maxWalkDistance=804.672&arriveBy=false&wheelchair=false&locale=en;1882;0;0
1556011353853;2108;Request_Route_18;200;OK;OTP Thread Group 1-13;text;true;;52973;366;15;15;http://localhost:8080/otp/routers/default/plan?fromPlace=52.92711883428343%2C12.812805175781248&toPlace=52.50368360390624%2C13.554382324218748&time=10%3A54am&date=04-10-2019&mode=CAR_PARK%2CWALK%2CTRANSIT&maxWalkDistance=804.672&arriveBy=false&wheelchair=false&locale=en;2106;0;0
1556011353029;2967;Request_Route_13;200;OK;OTP Thread Group 1-15;text;true;;27049;367;15;15;http://localhost:8080/otp/routers/default/plan?fromPlace=52.480271148513935%2C13.699264526367188&toPlace=52.55130616747367%2C13.333969116210938&time=10%3A18am&date=04-10-2019&mode=CAR_PARK%2CWALK%2CTRANSIT&maxWalkDistance=804.672&arriveBy=false&wheelchair=false&locale=en;2966;0;5
1556011354250;2407;Request_Route_18;200;OK;OTP Thread Group 1-12;text;true;;52973;366;15;15;http://localhost:8080/otp/routers/default/plan?fromPlace=52.92711883428343%2C12.812805175781248&toPlace=52.50368360390624%2C13.554382324218748&time=10%3A54am&date=04-10-2019&mode=CAR_PARK%2CWALK%2CTRANSIT&maxWalkDistance=804.672&arriveBy=false&wheelchair=false&locale=en;2405;0;0
1556011354929;2294;Request_Route_18;200;OK;OTP Thread Group 1-4;text;true;;52973;366;15;15;http://localhost:8080/otp/routers/default/plan?fromPlace=52.92711883428343%2C12.812805175781248&toPlace=52.50368360390624%2C13.554382324218748&time=10%3A54am&date=04-10-2019&mode=CAR_PARK%2CWALK%2CTRANSIT&maxWalkDistance=804.672&arriveBy=false&wheelchair=false&locale=en;2292;0;0
1556011355112;2344;Request_Route_15;200;OK;OTP Thread Group 1-11;text;true;;34560;367;15;15;http://localhost:8080/otp/routers/default/plan?fromPlace=52.67721472156448%2C13.596954345703125&toPlace=52.515803012883595%2C13.401260375976562&time=10%3A18am&date=04-10-2019&mode=CAR_PARK%2CWALK%2CTRANSIT&maxWalkDistance=804.672&arriveBy=false&wheelchair=false&locale=en;2342;0;0
1556011355253;2592;Request_Route_18;200;OK;OTP Thread Group 1-14;text;true;;52973;366;15;15;http://localhost:8080/otp/routers/default/plan?fromPlace=52.92711883428343%2C12.812805175781248&toPlace=52.50368360390624%2C13.554382324218748&time=10%3A54am&date=04-10-2019&mode=CAR_PARK%2CWALK%2CTRANSIT&maxWalkDistance=804.672&arriveBy=false&wheelchair=false&locale=en;2589;0;0
1556011353083;5745;Request_Route_19;200;OK;OTP Thread Group 1-1;text;true;;886;366;15;15;http://localhost:8080/otp/routers/default/plan?fromPlace=52.698025582148965%2C13.075103759765625&toPlace=52.4350833510599%2C14.357757568359373&time=10%3A54am&date=04-10-2019&mode=CAR_PARK%2CWALK%2CTRANSIT&maxWalkDistance=804.672&arriveBy=false&wheelchair=false&locale=en;5745;0;3
1556011353603;5895;Request_Route_19;200;OK;OTP Thread Group 1-5;text;true;;887;366;15;15;http://localhost:8080/otp/routers/default/plan?fromPlace=52.698025582148965%2C13.075103759765625&toPlace=52.4350833510599%2C14.357757568359373&time=10%3A54am&date=04-10-2019&mode=CAR_PARK%2CWALK%2CTRANSIT&maxWalkDistance=804.672&arriveBy=false&wheelchair=false&locale=en;5895;0;3
1556011355266;4239;Request_Route_16;200;OK;OTP Thread Group 1-8;text;true;;14385;366;15;15;http://localhost:8080/otp/routers/default/plan?fromPlace=52.59303784115741%2C13.338775634765625&toPlace=52.55047112887276%2C13.352508544921875&time=10%3A18am&date=04-10-2019&mode=CAR_PARK%2CWALK%2CTRANSIT&maxWalkDistance=804.672&arriveBy=false&wheelchair=false&locale=en;4238;0;3
1556011354250;5880;Request_Route_19;200;OK;OTP Thread Group 1-6;text;true;;886;366;15;15;http://localhost:8080/otp/routers/default/plan?fromPlace=52.698025582148965%2C13.075103759765625&toPlace=52.4350833510599%2C14.357757568359373&time=10%3A54am&date=04-10-2019&mode=CAR_PARK%2CWALK%2CTRANSIT&maxWalkDistance=804.672&arriveBy=false&wheelchair=false&locale=en;5880;0;3
1556011354267;5867;Request_Route_19;200;OK;OTP Thread Group 1-9;text;true;;886;366;15;15;http://localhost:8080/otp/routers/default/plan?fromPlace=52.698025582148965%2C13.075103759765625&toPlace=52.4350833510599%2C14.357757568359373&time=10%3A54am&date=04-10-2019&mode=CAR_PARK%2CWALK%2CTRANSIT&maxWalkDistance=804.672&arriveBy=false&wheelchair=false&locale=en;5867;0;4
1556011354304;5970;Request_Route_19;200;OK;OTP Thread Group 1-2;text;true;;887;366;15;15;http://localhost:8080/otp/routers/default/plan?fromPlace=52.698025582148965%2C13.075103759765625&toPlace=52.4350833510599%2C14.357757568359373&time=10%3A54am&date=04-10-2019&mode=CAR_PARK%2CWALK%2CTRANSIT&maxWalkDistance=804.672&arriveBy=false&wheelchair=false&locale=en;5970;0;3
1556011355997;4292;Request_Route_14;200;OK;OTP Thread Group 1-15;text;true;;40425;364;15;15;http://localhost:8080/otp/routers/default/plan?fromPlace=52.60805152239317%2C13.9361572265625&toPlace=52.54838346285351%2C13.340835571289062&time=10%3A18am&date=04-10-2019&mode=CAR_PARK%2CWALK%2CTRANSIT&maxWalkDistance=804.672&arriveBy=false&wheelchair=false&locale=en;4290;0;4
1556011354845;5456;Request_Route_19;200;OK;OTP Thread Group 1-10;text;true;;887;366;15;15;http://localhost:8080/otp/routers/default/plan?fromPlace=52.698025582148965%2C13.075103759765625&toPlace=52.4350833510599%2C14.357757568359373&time=10%3A54am&date=04-10-2019&mode=CAR_PARK%2CWALK%2CTRANSIT&maxWalkDistance=804.672&arriveBy=false&wheelchair=false&locale=en;5456;0;4
1556011355120;6147;Request_Route_19;200;OK;OTP Thread Group 1-3;text;true;;887;366;15;15;http://localhost:8080/otp/routers/default/plan?fromPlace=52.698025582148965%2C13.075103759765625&toPlace=52.4350833510599%2C14.357757568359373&time=10%3A54am&date=04-10-2019&mode=CAR_PARK%2CWALK%2CTRANSIT&maxWalkDistance=804.672&arriveBy=false&wheelchair=false&locale=en;6147;0;3
1556011359505;2433;Request_Route_17;200;OK;OTP Thread Group 1-8;text;true;;36925;365;15;15;http://localhost:8080/otp/routers/default/plan?fromPlace=52.84840052378115%2C13.79058837890625&toPlace=52.50368360390624%2C13.554382324218748&time=10%3A54am&date=04-10-2019&mode=CAR_PARK%2CWALK%2CTRANSIT&maxWalkDistance=804.672&arriveBy=false&wheelchair=false&locale=en;2431;0;3
